,date,close,diff,open,high,low,volume
1,2020-09-16,6550,90,6640,6760,6450,1177910
2,2020-09-15,6640,50,6660,6820,6490,1441605
3,2020-09-14,6590,50,6530,6770,6520,876254
4,2020-09-11,6540,190,6300,7550,6230,10305460
5,2020-09-10,6350,10,6430,6460,6180,712117
9,2020-09-09,6360,240,6460,6590,6330,969881
10,2020-09-08,6600,160,6610,7000,6520,3652595
11,2020-09-07,6440,120,6520,6720,6410,1292899
12,2020-09-04,6560,80,6360,6630,6270,1284009
13,2020-09-03,6640,30,6660,7130,6500,6124897
16,2020-09-02,6610,140,6480,6740,6140,4562009
17,2020-09-01,6470,620,5820,7600,5800,23964572
18,2020-08-31,5850,10,5850,5970,5720,476319
19,2020-08-28,5840,50,5890,6060,5820,797422
20,2020-08-27,5890,320,6330,6430,5880,1808086
24,2020-08-26,6210,560,5660,6400,5650,3665405
25,2020-08-25,5650,220,5390,5660,5390,478305
26,2020-08-24,5430,90,5250,5470,5200,305816
27,2020-08-21,5340,160,5560,5680,5300,688327
28,2020-08-20,5500,180,5320,5700,5320,905165
31,2020-08-19,5320,130,5210,5400,5210,262231
32,2020-08-18,5190,320,5520,5540,5070,562969
33,2020-08-14,5510,160,5670,5740,5450,517971
34,2020-08-13,5670,10,5700,5760,5640,372957
35,2020-08-12,5680,140,5860,5870,5570,528816
39,2020-08-11,5820,60,5760,6050,5760,609499
40,2020-08-10,5760,70,5850,5890,5650,508075
41,2020-08-07,5830,70,5930,6050,5760,788997
42,2020-08-06,5900,10,5950,6280,5830,2187610
43,2020-08-05,5910,250,5740,6640,5700,6632157
46,2020-08-04,5660,0,5800,5810,5540,1000561
47,2020-08-03,5660,130,5600,5750,5550,957454
48,2020-07-31,5530,180,5350,5620,5310,924997
49,2020-07-30,5350,140,5430,5480,5330,547592
50,2020-07-29,5490,350,5140,5790,5110,3789394
54,2020-07-28,5140,60,5130,5190,5070,210424
55,2020-07-27,5080,200,5290,5390,5070,582022
56,2020-07-24,5280,110,5130,5600,5110,1522080
57,2020-07-23,5170,160,5040,5360,4985,1778297
58,2020-07-22,5010,105,4900,5010,4860,295262
