,종목,ROA,CFO,ROA_DIFF,ACCRUAL,EQ_OFFER,TURN,SUM
1912,대창스틸,1,1,1,1,1,1,6.0
2305,케어젠,1,1,1,0,1,1,5.0
2078,광명전기,1,1,1,0,1,1,5.0
1917,동양이엔피,1,1,1,0,1,1,5.0
2249,얼라인드,1,1,1,0,1,1,5.0
1835,아남전자,1,1,1,0,1,1,5.0
1978,오리엔탈정공,1,1,1,0,1,1,5.0
2323,티비씨,1,1,1,0,1,1,5.0
2146,한세예스24홀딩스,1,1,1,0,1,1,5.0
1877,화승알앤에이,1,1,1,0,1,1,5.0
1969,액토즈소프트,1,1,1,0,1,1,5.0
2077,경동나비엔,1,1,1,0,1,1,5.0
2081,깨끗한나라,0,1,1,1,1,1,5.0
2155,화신,1,1,1,0,1,1,5.0
2130,종근당,1,1,1,0,1,1,5.0
1853,일양약품,1,1,1,0,1,1,5.0
1933,미투온,1,1,1,0,1,1,5.0
2083,노루홀딩스,1,1,1,0,1,1,5.0
2084,대동공업,1,1,1,0,1,1,5.0
2089,도화엔지니어링,1,1,1,0,1,1,5.0
2090,동성화학,1,1,1,0,1,1,5.0
2336,하이록코리아,1,1,1,0,1,1,5.0
2091,동아에스티,1,1,1,0,1,1,5.0
2272,우리이앤엘,1,1,1,0,1,1,5.0
2212,보성파워텍,1,1,1,0,1,1,5.0
1834,씨에스윈드,1,1,1,0,1,1,5.0
1827,삼화페인트공업,1,1,1,0,1,1,5.0
2175,다나와,1,1,1,0,1,1,5.0
2192,디와이피엔에프,1,1,1,0,1,1,5.0
2013,창해에탄올,1,1,1,0,1,1,5.0
2009,조이시티,0,1,1,1,1,1,5.0
2024,코리아에프티,1,1,1,0,1,1,5.0
2315,큐에스아이,1,1,1,0,1,1,5.0
2227,세중,1,1,1,0,1,1,5.0
2030,파트론,1,1,1,0,1,1,5.0
1916,동양에스텍,1,1,1,0,1,1,5.0
2226,세동,0,1,1,1,1,1,5.0
2225,성광벤드,1,1,1,0,1,1,5.0
2160,GH신소재,1,1,1,0,1,1,5.0
2136,케이티앤지,1,1,1,0,1,1,5.0
1822,보령제약,1,1,1,0,1,1,5.0
1913,덕우전자,1,1,1,0,1,1,5.0
2094,동일고무벨트,1,1,0,0,1,1,4.0
1915,동성화인텍,1,0,1,0,1,1,4.0
2297,제일테크노스,1,1,0,0,1,1,4.0
2310,코렌텍,1,1,1,0,0,1,4.0
2307,케이엘넷,1,1,1,0,1,0,4.0
2296,제이엔케이히터,1,1,1,0,0,1,4.0
1945,상신전자,1,1,1,0,1,0,4.0
2203,메디아나,1,1,1,0,1,0,4.0
2276,유비케어,1,1,0,0,1,1,4.0
2292,정산애강,1,1,1,0,1,0,4.0
2102,미래에셋대우,1,0,1,0,1,1,4.0
2294,제닉,0,1,1,1,1,0,4.0
1914,동국S&C,1,1,1,0,1,0,4.0
2295,제이브이엠,1,1,0,0,1,1,4.0
2111,에스케이바이오팜,0,0,1,1,1,1,4.0
1923,디젠스,0,1,1,1,1,0,4.0
2198,루멘스,0,1,0,1,1,1,4.0
2103,보해양조,0,1,1,1,0,1,4.0
2290,인화정공,0,1,0,1,1,1,4.0
1908,대성엘텍,0,1,0,1,1,1,4.0
1962,아이앤씨,1,1,1,0,0,1,4.0
1948,선익시스템,1,1,1,0,1,0,4.0
2250,에스씨디,0,1,0,1,1,1,4.0
2020,케이프,1,1,1,0,0,1,4.0
2229,솔트룩스,1,1,1,0,0,1,4.0
2023,코다코,0,1,0,1,1,1,4.0
2228,솔브레인홀딩스,1,1,1,0,1,0,4.0
2005,일진파워,1,1,0,0,1,1,4.0
2003,인프라웨어,0,0,1,1,1,1,4.0
1999,이엔에프테크놀로지,1,1,1,0,1,0,4.0
2035,퓨쳐스트림네트웍스,1,1,1,0,0,1,4.0
2217,빛샘전자,1,1,1,0,1,0,4.0
2037,피앤이솔루션,1,0,1,0,1,1,4.0
2042,한국가구,1,1,0,0,1,1,4.0
2044,한빛소프트,1,0,1,0,1,1,4.0
2210,백금T&A,1,1,1,0,0,1,4.0
2251,에스텍,1,1,0,0,1,1,4.0
2088,대창단조,1,1,1,0,1,0,4.0
1980,오스템,0,1,0,1,1,1,4.0
2069,BYC,1,1,1,0,1,0,4.0
2252,에스폴리텍,1,1,1,0,1,0,4.0
2071,JB금융지주,1,1,1,0,1,0,4.0
1972,에스티아이,1,1,0,0,1,1,4.0
2074,SK디스커버리,1,1,1,0,1,0,4.0
2075,STX중공업,0,0,1,1,1,1,4.0
2076,강남제비스코,1,1,0,0,1,1,4.0
2311,코리아나,1,1,0,0,1,1,4.0
2206,미래생명자원,1,1,0,0,1,1,4.0
1959,아미노로직스,0,1,0,1,1,1,4.0
1802,농심,1,1,0,0,1,1,4.0
2205,모바일리더,0,1,0,1,1,1,4.0
2196,로보티즈,1,1,0,0,1,1,4.0
2085,대상홀딩스,1,1,1,0,1,0,4.0
1856,진양산업,1,1,1,0,1,0,4.0
2340,한국정보공학,1,1,1,0,1,0,4.0
1833,쌍용양회공업,1,1,0,0,1,1,4.0
2147,한일홀딩스,1,1,0,0,1,1,4.0
1841,영원무역,1,1,1,0,1,0,4.0
1844,오리온홀딩스,1,1,1,0,0,1,4.0
2185,동국산업,1,1,1,0,1,0,4.0
2144,한국항공우주,1,1,1,0,1,0,4.0
1847,원림,1,1,1,0,1,0,4.0
2339,한국기업평가,1,1,1,0,1,0,4.0
1869,한국조선해양,1,0,1,0,1,1,4.0
1854,주연테크,0,1,1,1,0,1,4.0
2141,하나금융지주,1,1,0,0,1,1,4.0
1857,케이비아이동국실업,1,1,1,1,0,0,4.0
1860,케이티스카이라이프,1,1,1,0,1,0,4.0
1862,키움증권,1,0,1,0,1,1,4.0
1865,평화홀딩스,0,0,1,1,1,1,4.0
1867,하이트진로홀딩스,0,1,0,1,1,1,4.0
1832,쌍방울,0,0,1,1,1,1,4.0
1831,세아제강지주,1,1,0,0,1,1,4.0
2152,현대백화점,1,1,0,0,1,1,4.0
2154,현대종합상사,1,1,1,0,1,0,4.0
1803,다우기술,1,0,1,0,1,1,4.0
2348,홈센타홀딩스,0,1,1,1,0,1,4.0
2173,농우바이오,1,1,0,0,1,1,4.0
2167,글로벌에스엠,1,1,1,0,0,1,4.0
2166,골프존뉴딘홀딩스,0,1,0,1,1,1,4.0
2164,THE MIDONG,0,0,1,1,1,1,4.0
1811,동방,0,1,0,1,1,1,4.0
