,date,close,diff,open,high,low,volume
1,2020-09-16,60900,100,61100,61300,60600,10436220
2,2020-09-15,61000,600,60900,61000,60500,17877075
3,2020-09-14,60400,1400,60200,60800,59900,20648281
4,2020-09-11,59000,200,59300,59400,58200,16017098
5,2020-09-10,59200,800,59900,60000,59100,29923293
9,2020-09-09,58400,300,58200,59300,57800,30597399
10,2020-09-08,58700,2200,57400,58700,57200,31517520
11,2020-09-07,56500,900,56100,57300,55800,18685880
12,2020-09-04,55600,800,55200,55800,55100,22139109
13,2020-09-03,56400,2000,55600,56700,55500,28384920
16,2020-09-02,54400,200,54600,55100,54100,16905723
17,2020-09-01,54200,200,54100,54800,54100,19363117
18,2020-08-31,54000,1400,56000,56100,54000,32671367
19,2020-08-28,55400,200,56100,56300,55400,14619888
20,2020-08-27,55600,800,56300,56300,55600,16196568
24,2020-08-26,56400,0,56400,56500,55700,17651593
25,2020-08-25,56400,300,56400,56800,56100,14021705
26,2020-08-24,56100,200,55800,56600,55400,15055896
27,2020-08-21,55900,500,56200,56900,55800,21142288
28,2020-08-20,55400,2400,57600,57600,55300,30386029
31,2020-08-19,57800,600,59000,59200,57800,16930719
32,2020-08-18,58400,400,58900,59900,58000,25307825
33,2020-08-14,58000,700,58000,58400,57700,15672548
34,2020-08-13,58700,300,59400,59600,58000,22089460
35,2020-08-12,59000,800,58200,59000,57700,18573934
39,2020-08-11,58200,400,58000,59500,57800,24907912
40,2020-08-10,57800,300,57600,58300,57500,17774291
41,2020-08-07,57500,500,57900,58400,57100,18751717
42,2020-08-06,58000,1100,57100,58400,57100,21625874
43,2020-08-05,56900,400,57300,57500,56300,17739706
46,2020-08-04,57300,500,57200,58100,57000,19419694
47,2020-08-03,56800,1100,57800,57900,56700,21158940
48,2020-07-31,57900,1100,59500,59600,57700,21943345
49,2020-07-30,59000,0,59700,60100,59000,19285354
50,2020-07-29,59000,400,60300,60400,58600,36476611
54,2020-07-28,58600,3000,57000,58800,56400,48431566
55,2020-07-27,55600,1400,54300,55700,54300,21054421
56,2020-07-24,54200,100,54000,54400,53700,10994535
57,2020-07-23,54100,600,54700,54700,53800,16214932
58,2020-07-22,54700,600,55300,55500,54700,12885057
61,2020-07-21,55300,1100,55200,55400,54800,18297260
62,2020-07-20,54200,200,54800,54800,54000,10507530
63,2020-07-17,54400,600,54200,54700,54100,10096174
64,2020-07-16,53800,900,54800,54800,53800,16779127
65,2020-07-15,54700,900,54400,55000,54300,24051450
69,2020-07-14,53800,400,53700,53800,53200,14269484
70,2020-07-13,53400,700,53300,53800,53100,12240188
71,2020-07-10,52700,100,53100,53200,52300,13714746
72,2020-07-09,52800,200,53200,53600,52800,17054850
73,2020-07-08,53000,400,53600,53900,52900,19664652
76,2020-07-07,53400,1600,55800,55900,53400,30760032
77,2020-07-06,55000,1400,54000,55000,53800,19856623
78,2020-07-03,53600,700,53000,53600,52700,11887868
79,2020-07-02,52900,300,52100,52900,52100,14142583
80,2020-07-01,52600,200,53400,53600,52400,16706143
84,2020-06-30,52800,400,53900,53900,52800,21157172
85,2020-06-29,52400,900,52500,53200,52000,17776925
86,2020-06-26,53300,1400,52800,53900,52200,21575360
87,2020-06-25,51900,1000,52100,53000,51900,18541624
88,2020-06-24,52900,1500,51900,53900,51600,24519552
91,2020-06-23,51400,600,52500,52800,51100,18086152
92,2020-06-22,52000,900,52000,52600,51800,13801350
93,2020-06-19,52900,600,52600,52900,51600,18157985
94,2020-06-18,52300,100,52200,52300,51600,15982926
95,2020-06-17,52200,100,52100,52900,51300,26672595
99,2020-06-16,52100,2200,51200,52100,50600,21808375
100,2020-06-15,49900,2400,51400,52000,49900,28772921
101,2020-06-12,52300,2000,52100,52800,51500,26976019
102,2020-06-11,54300,1100,54500,55100,53200,33815123
103,2020-06-10,55400,100,55100,55900,54900,16742493
106,2020-06-09,55500,600,55800,56500,54400,23998831
107,2020-06-08,54900,600,56400,56500,54700,25634965
108,2020-06-05,55500,900,54400,55900,54000,22743629
109,2020-06-04,54600,100,55800,57000,54600,40220334
110,2020-06-03,54500,3100,51800,55000,51700,49257814
114,2020-06-02,51400,200,51000,51500,50800,14247933
115,2020-06-01,51200,500,50800,51200,50600,16949183
116,2020-05-29,50700,300,50000,50700,49700,27596961
117,2020-05-28,50400,500,51100,51200,49900,31309318
118,2020-05-27,49900,650,48950,50000,48800,19548479
121,2020-05-26,49250,400,48700,49450,48600,15127490
122,2020-05-25,48850,100,48750,48900,48450,14337913
123,2020-05-22,48750,1200,49600,49800,48600,19706284
124,2020-05-21,49950,50,50300,50400,49850,14949266
125,2020-05-20,50000,300,50000,50200,49800,14896899
129,2020-05-19,50300,1500,50100,50500,49700,25168295
130,2020-05-18,48800,950,47950,49100,47600,20481981
131,2020-05-15,47850,150,48400,48450,47700,18463118
132,2020-05-14,48000,550,47750,48100,47650,19305974
133,2020-05-13,48550,650,47250,48550,47200,20223277
136,2020-05-12,47900,500,48400,48500,47550,23433590
137,2020-05-11,48400,400,48900,49250,48300,16357743
138,2020-05-08,48800,0,49100,49350,48800,15319700
139,2020-05-07,48800,400,49200,49300,48700,13884411
140,2020-05-06,49200,700,49000,49200,48500,18070225
144,2020-05-04,48500,1500,48900,49100,48500,26083749
145,2020-04-29,50000,100,49900,50500,49600,15604533
146,2020-04-28,50100,250,49850,50100,49300,16095399
147,2020-04-27,49850,500,49350,50000,49100,14049471
148,2020-04-24,49350,500,49650,49750,49000,15618347
151,2020-04-23,49850,0,50200,50300,49500,18754442
152,2020-04-22,49850,600,48700,50000,48350,18613864
153,2020-04-21,49250,850,49400,49700,48700,27407543
154,2020-04-20,50100,1300,51400,51400,50000,21866354
155,2020-04-17,51400,2400,50800,52000,50300,32041675
159,2020-04-16,49000,0,49350,49350,48550,23349760
160,2020-04-14,49000,700,48800,49200,48300,14206216
161,2020-04-13,48300,950,48650,48900,48300,14431800
162,2020-04-10,49250,150,48950,49250,48650,17839111
163,2020-04-09,49100,500,49750,49800,48700,22628058
166,2020-04-08,48600,1000,49600,49750,48600,25010314
167,2020-04-07,49600,900,49650,50200,49000,31524034
168,2020-04-06,48700,1700,47500,48800,47250,23395726
169,2020-04-03,47000,200,47400,47600,46550,22784682
170,2020-04-02,46800,1000,46200,46850,45350,21621076
174,2020-04-01,45800,1950,47450,47900,45800,27259532
175,2020-03-31,47750,100,48000,48500,47150,30654261
176,2020-03-30,47850,450,47050,48350,46550,26797395
177,2020-03-27,48300,500,49600,49700,46850,39896178
178,2020-03-26,47800,850,49000,49300,47700,42185129
181,2020-03-25,48650,1700,48950,49600,47150,52735922
182,2020-03-24,46950,4450,43850,46950,43050,49801908
183,2020-03-23,42500,2900,42600,43550,42400,41701626
184,2020-03-20,45400,2450,44150,45500,43550,49730008
185,2020-03-19,42950,2650,46400,46650,42300,56925513
189,2020-03-18,45600,1700,47750,48350,45600,40152623
190,2020-03-17,47300,1600,46900,49650,46700,51218151
191,2020-03-16,48900,1050,50100,50900,48800,33339821
192,2020-03-13,49950,850,47450,51600,46850,59462933
193,2020-03-12,50800,1300,51000,51900,49300,48149999
196,2020-03-11,52100,2500,54300,54400,52000,45707281
197,2020-03-10,54600,400,53800,54900,53700,32106554
198,2020-03-09,54200,2300,54700,55000,53600,30261485
199,2020-03-06,56500,1300,56500,57200,56200,18716656
200,2020-03-05,57800,400,57600,58000,56700,21698990
204,2020-03-04,57400,2000,54800,57600,54600,24765728
205,2020-03-03,55400,400,56700,56900,55100,30330295
206,2020-03-02,55000,800,54300,55500,53600,30403412
207,2020-02-28,54200,1700,55000,55500,54200,30054227
208,2020-02-27,55900,600,56300,56900,55500,23209541
211,2020-02-26,56500,1400,56000,57000,56000,25483102
212,2020-02-25,57900,1100,56200,58000,56200,23885408
213,2020-02-24,56800,2400,57400,58100,56800,25627537
214,2020-02-21,59200,800,58800,59800,58500,13777393
215,2020-02-20,60000,200,60700,61300,59600,14591924
219,2020-02-19,60200,400,59800,60400,59400,12951496
220,2020-02-18,59800,1700,60800,60900,59700,16674266
221,2020-02-17,61500,300,61600,62000,61200,8740596
222,2020-02-14,61800,1100,60900,61900,60200,13276067
223,2020-02-13,60700,200,61200,61600,60500,18449775
226,2020-02-12,60500,600,60300,60700,59700,12904207
227,2020-02-11,59900,200,59800,60700,59700,11071231
228,2020-02-10,59700,700,59200,59800,59100,13107121
229,2020-02-07,60400,700,61100,61200,59700,16402493
230,2020-02-06,61100,1600,60100,61100,59700,14727159
234,2020-02-05,59500,600,60000,60200,58900,19278165
235,2020-02-04,58900,1700,57100,59000,56800,21800192
236,2020-02-03,57200,800,55500,57400,55200,23995260
237,2020-01-31,56400,800,57800,58400,56400,19749457
238,2020-01-30,57200,1900,58800,58800,56800,20821939
241,2020-01-29,59100,300,59100,59700,58800,16446102
242,2020-01-28,58800,2000,59400,59400,58300,23664541
243,2020-01-23,60800,1500,61800,61800,60700,14916555
244,2020-01-22,62300,900,60500,62600,60400,15339565
245,2020-01-21,61400,1000,62000,62400,61200,11142693
249,2020-01-20,62400,1100,62000,62800,61700,12528855
250,2020-01-17,61300,600,61900,62000,61000,16025661
251,2020-01-16,60700,1700,59100,60700,59000,14381774
252,2020-01-15,59000,1000,59500,59600,58900,14300928
253,2020-01-14,60000,0,60400,61000,59900,16906295
256,2020-01-13,60000,500,59600,60000,59100,11359139
257,2020-01-10,59500,900,58800,59700,58300,16000170
258,2020-01-09,58600,1800,58400,58600,57400,24102579
259,2020-01-08,56800,1000,56200,57400,55900,23501171
260,2020-01-07,55800,300,55700,56400,55600,10009778
264,2020-01-06,55500,0,54900,55600,54600,10278951
265,2020-01-03,55500,300,56000,56600,54900,15422255
266,2020-01-02,55200,600,55500,56000,55000,12993228
267,2019-12-30,55800,700,56200,56600,55700,8356767
268,2019-12-27,56500,1100,55700,56900,55500,12313056
271,2019-12-26,55400,400,54700,55400,54400,9645034
272,2019-12-24,55000,500,55600,55700,54800,11868463
273,2019-12-23,55500,500,56100,56400,55100,9839252
274,2019-12-20,56000,0,56100,56500,55600,12095519
275,2019-12-19,56000,300,57000,57300,55500,14180520
279,2019-12-18,56300,400,56700,57200,56000,15558208
280,2019-12-17,56700,2000,55800,56700,55400,19358433
281,2019-12-16,54700,0,54500,54900,54300,11512405
282,2019-12-13,54700,1400,54500,54800,53900,18120261
283,2019-12-12,53300,1400,53000,53300,52700,29178697
286,2019-12-11,51900,400,51500,52200,51400,11379521
287,2019-12-10,51500,300,51000,51600,50700,6882771
288,2019-12-09,51200,800,50900,51400,50700,8470627
289,2019-12-06,50400,900,50100,50900,49950,11414563
290,2019-12-05,49500,50,50200,50400,49500,10449715
294,2019-12-04,49450,450,49600,49850,49000,13246549
295,2019-12-03,49900,500,49800,50300,49500,12059812
296,2019-12-02,50400,100,50900,51300,50400,18877252
297,2019-11-29,50300,1000,51200,51400,50200,11179334
298,2019-11-28,51300,900,51900,52100,51300,6833885
301,2019-11-27,52200,400,51800,52300,51600,7546261
302,2019-11-26,51800,0,51900,52900,51800,27372226
303,2019-11-25,51800,200,52200,52600,51700,9050625
304,2019-11-22,51600,600,51000,51600,50900,8478310
305,2019-11-21,51000,1000,51600,52100,50600,14298646
309,2019-11-20,52000,1500,53400,53400,52000,12560070
310,2019-11-19,53500,0,53200,53500,52700,8907177
311,2019-11-18,53500,200,53600,53800,53200,7746554
312,2019-11-15,53700,900,52900,53700,52600,9703360
313,2019-11-14,52800,300,51900,52800,51900,12010018
316,2019-11-13,52500,100,52500,52500,52000,6225196
317,2019-11-12,52600,1000,51800,52600,51600,6576148
318,2019-11-11,51600,500,52200,52200,51400,8185952
319,2019-11-08,52100,800,53200,53300,52000,11603290
320,2019-11-07,52900,400,53400,53400,52400,9257116
324,2019-11-06,53300,600,52900,53500,52700,14361133
325,2019-11-05,52700,400,52400,52700,52100,10581034
326,2019-11-04,52300,1100,51700,52300,51400,13012411
327,2019-11-01,51200,800,50600,51200,50400,8467846
328,2019-10-31,50400,0,51000,51400,50300,10304777
331,2019-10-30,50400,700,50700,50800,50200,8959435
332,2019-10-29,51100,200,51400,51700,50800,7581629
333,2019-10-28,51300,400,50700,51500,50700,6431522
334,2019-10-25,50900,200,50800,51200,50500,7879897
335,2019-10-24,50700,500,52500,52500,50500,21185785
339,2019-10-23,51200,0,51300,51500,50800,8663880
340,2019-10-22,51200,900,50800,51500,50700,10898729
341,2019-10-21,50300,400,49900,50400,49800,4406531
342,2019-10-18,49900,600,50300,50900,49650,8483106
343,2019-10-17,50500,200,50500,50600,50100,6701380
346,2019-10-16,50700,600,50700,50900,50400,9136282
347,2019-10-15,50100,100,49900,50200,49900,6058105
348,2019-10-14,50000,850,50000,50300,49850,11130635
349,2019-10-11,49150,600,49000,49450,48800,7783275
350,2019-10-10,48550,350,48200,49200,48000,18639855
354,2019-10-08,48900,1150,47900,49000,47600,14239367
355,2019-10-07,47750,250,48350,48700,47650,7047273
356,2019-10-04,48000,400,47400,48650,47350,9331695
357,2019-10-02,47600,1250,48350,48400,47600,8382463
358,2019-10-01,48850,200,48900,49100,48650,6206035
361,2019-09-30,49050,650,48050,49250,47900,9497119
362,2019-09-27,48400,800,48000,48700,48000,8048041
363,2019-09-26,49200,300,49000,49250,48900,8494756
364,2019-09-25,48900,600,49200,49350,48800,9187141
365,2019-09-24,49500,200,49050,49650,48850,7871955
369,2019-09-23,49300,100,49250,49300,49000,7568553
370,2019-09-20,49200,50,49400,49600,49100,15460210
371,2019-09-19,49150,1450,48050,49200,47850,16461413
372,2019-09-18,47700,800,46900,47700,46800,10413027
373,2019-09-17,46900,200,47000,47100,46800,7006280
376,2019-09-16,47100,50,47000,47100,46400,15550926
377,2019-09-11,47150,150,47300,47400,46800,16141619
378,2019-09-10,47000,100,47100,47200,46550,9231792
379,2019-09-09,46900,600,46450,47000,46300,9434157
380,2019-09-06,46300,600,46500,46500,45850,9896562
384,2019-09-05,45700,1600,44800,46100,44450,18297430
385,2019-09-04,44100,850,43250,44100,43150,12441837
386,2019-09-03,43250,550,43550,43650,43100,9774941
387,2019-09-02,43800,200,44850,44850,43650,7185537
388,2019-08-30,44000,600,43750,44300,43750,9899073
391,2019-08-29,43400,750,44200,44200,43050,10768862
392,2019-08-28,44150,100,44100,44400,43750,5758333
393,2019-08-27,44050,450,43650,44200,43600,16883932
394,2019-08-26,43600,350,43050,43800,42950,7954949
395,2019-08-23,43950,100,43800,44200,43650,5017381
399,2019-08-22,44050,450,44500,44700,43850,8061177
400,2019-08-21,44500,50,44350,44800,44150,6571717
401,2019-08-20,44450,850,43950,44600,43550,8434205
402,2019-08-19,43600,300,44350,44350,43500,6014218
403,2019-08-16,43900,200,43800,43900,43300,9528115
406,2019-08-14,43700,700,43900,44250,43500,8750135
407,2019-08-13,43000,700,43500,43500,42950,7276979
408,2019-08-12,43700,550,44000,44000,43550,8466169
409,2019-08-09,43150,500,43250,43350,43050,9685147
410,2019-08-08,42650,550,43250,43500,42650,16926881
414,2019-08-07,43200,300,43600,43900,43100,10002533
415,2019-08-06,43500,450,42500,43800,42500,15083824
416,2019-08-05,43950,1000,44350,44600,43600,14214086
417,2019-08-02,44950,250,44550,45500,44300,12151374
418,2019-08-01,45200,150,44900,45500,44850,7811181
421,2019-07-31,45350,1200,46200,46600,45000,12872916
422,2019-07-30,46550,450,46300,46850,46300,5551014
423,2019-07-29,46100,1050,46800,47050,46000,6856846
424,2019-07-26,47150,50,46650,47150,46550,7873886
425,2019-07-25,47200,800,47150,47200,46600,8408838
429,2019-07-24,46400,900,47100,47150,46250,8756522
430,2019-07-23,47300,100,47350,47550,47050,9061381
431,2019-07-22,47200,400,46800,47300,46600,9009109
432,2019-07-19,46800,700,46650,46950,46600,8819393
433,2019-07-18,46100,50,46450,46450,45650,5143554
436,2019-07-17,46050,800,46150,46350,45950,5216602
437,2019-07-16,46850,400,46450,46850,46300,7407824
438,2019-07-15,46450,150,45950,46650,45750,4717226
439,2019-07-12,46300,100,46350,46400,45800,5245804
440,2019-07-11,46200,650,46350,46550,46150,10989751
444,2019-07-10,45550,450,45550,46150,45500,9253930
445,2019-07-09,45100,700,44850,45450,44700,7646421
446,2019-07-08,44400,1250,44750,44800,44350,7823843
447,2019-07-05,45650,350,45950,45950,45250,7235395
448,2019-07-04,46000,600,45250,46200,45250,6365573
451,2019-07-03,45400,850,45750,46350,45200,9669368
452,2019-07-02,46250,350,46200,46900,45850,8463073
453,2019-07-01,46600,400,47350,47400,46250,11383522
454,2019-06-28,47000,500,47000,47000,46700,12949231
455,2019-06-27,46500,800,46000,46600,45750,12603534
459,2019-06-26,45700,100,45800,46000,45600,9226097
460,2019-06-25,45600,100,45200,45800,45200,7076774
461,2019-06-24,45500,200,45200,45800,45200,6085066
462,2019-06-21,45700,200,45750,45800,45200,9454913
463,2019-06-20,45500,150,44850,45500,44850,7147785
466,2019-06-19,45350,1000,45450,45450,45000,10417690
467,2019-06-18,44350,450,43750,44500,43650,7994928
468,2019-06-17,43900,100,43750,44050,43400,11890424
469,2019-06-14,44000,250,43750,44150,43300,9322873
470,2019-06-13,43750,850,44200,44400,43400,16906541
474,2019-06-12,44600,250,44800,45050,44300,8607439
475,2019-06-11,44850,50,44800,45000,44550,6664872
476,2019-06-10,44800,600,44300,44850,44050,8792182
477,2019-06-07,44200,300,43600,44350,43450,11683682
478,2019-06-05,43900,450,44050,44200,43700,12464135
481,2019-06-04,43450,350,43400,43700,43000,9913497
482,2019-06-03,43800,1300,42950,43900,42500,15466580
483,2019-05-31,42500,50,42600,42800,42150,11365999
484,2019-05-30,42550,750,42200,42700,42150,11766018
485,2019-05-29,41800,750,41850,42100,41300,14930618
489,2019-05-28,42550,100,42550,42950,42150,24506881
490,2019-05-27,42650,50,42500,43000,42350,8066669
491,2019-05-24,42700,1150,43800,43800,42400,13966305
492,2019-05-23,43850,350,43900,44000,43250,12259006
493,2019-05-22,43500,350,43700,43800,42400,11033339
496,2019-05-21,43150,1150,42600,43950,42350,18812133
497,2019-05-20,42000,800,41650,42100,41550,15752397
498,2019-05-17,41200,350,41950,42050,40850,13357951
499,2019-05-16,41550,1000,42350,42400,41350,13687828
500,2019-05-15,42550,100,42700,43050,42550,7670185
504,2019-05-14,42650,0,41300,43100,41300,11563730
505,2019-05-13,42650,250,42500,43200,42350,7635079
506,2019-05-10,42900,450,42600,43450,42450,14579512
507,2019-05-09,42450,1800,43900,44250,42450,23029718
508,2019-05-08,44250,600,44300,44850,44200,10398754
511,2019-05-07,44850,450,45250,45300,44400,12014907
512,2019-05-03,45300,600,45900,46050,45300,6562916
513,2019-05-02,45900,50,45500,46150,45400,8625126
514,2019-04-30,45850,300,46000,46300,45350,11121273
515,2019-04-29,46150,1300,45150,46150,45100,8777517
519,2019-04-26,44850,200,44200,45000,43800,9739982
520,2019-04-25,44650,100,44250,45000,44100,10868965
521,2019-04-24,44750,450,45400,45650,44150,13299267
522,2019-04-23,45200,150,45050,45500,45000,6920566
523,2019-04-22,45350,50,45400,45900,45100,6006957
526,2019-04-19,45300,300,45750,46000,45250,8479710
527,2019-04-18,45600,1450,47200,47250,45500,12808747
528,2019-04-17,47050,200,47300,47600,47000,5513658
529,2019-04-16,47250,200,47400,47400,46800,7730881
530,2019-04-15,47050,200,47150,47500,47000,8733019
534,2019-04-12,46850,600,46050,46900,46000,7668936
535,2019-04-11,46250,450,46700,46800,46150,13697399
536,2019-04-10,46700,50,46400,46700,46050,11883995
537,2019-04-09,46650,0,46700,46950,46200,6878761
538,2019-04-08,46650,200,47250,47250,46150,8507909
541,2019-04-05,46850,100,46950,47550,46600,8546339
542,2019-04-04,46950,350,46150,47100,46150,12650168
543,2019-04-03,46600,850,46750,46750,45800,12436570
544,2019-04-02,45750,700,45550,46100,45350,9480688
545,2019-04-01,45050,400,45200,45450,44850,7362129
549,2019-03-29,44650,200,44500,44900,44200,11491713
550,2019-03-28,44850,500,44950,45200,44300,6821306
551,2019-03-27,45350,100,44750,45600,44250,9568081
552,2019-03-26,45250,250,45500,45700,44900,9729811
553,2019-03-25,45500,1050,45300,45650,44800,8699728
556,2019-03-22,46550,700,46850,47000,46250,12535911
557,2019-03-21,45850,1800,44600,46250,44050,21138016
558,2019-03-20,44050,150,43800,44200,43100,9846242
559,2019-03-19,43900,200,43750,43900,43550,7609563
560,2019-03-18,43700,500,43950,44150,43450,8188876
564,2019-03-15,44200,350,43800,44250,43700,16814163
565,2019-03-14,43850,0,43700,44300,43550,18039161
566,2019-03-13,43850,800,44250,44450,43700,8108343
567,2019-03-12,44650,1000,44300,44950,44150,11431977
568,2019-03-11,43650,150,44400,44450,43650,10717408
571,2019-03-08,43800,650,44450,44800,43800,7729069
572,2019-03-07,44450,450,43400,44950,43400,11049749
573,2019-03-06,44000,250,44000,44300,43700,10202544
574,2019-03-05,44250,600,44600,45100,44150,10612405
575,2019-03-04,44850,250,46000,46100,44800,12926539
579,2019-02-28,45100,1650,46400,46500,45100,23569321
580,2019-02-27,46750,0,47000,47250,46750,8045211
581,2019-02-26,46750,600,47350,47450,46500,7985547
582,2019-02-25,47350,200,47400,47550,47050,7484716
583,2019-02-22,47150,200,46500,47150,46450,6895772
586,2019-02-21,46950,50,46500,47200,46200,8694009
587,2019-02-20,46900,950,46750,47100,46500,11506720
588,2019-02-19,45950,250,45850,46150,45450,6741395
589,2019-02-18,46200,150,46500,46850,45850,8183728
590,2019-02-15,46050,1450,46750,46850,45650,10554643
594,2019-02-14,47500,1300,46600,47500,46150,17259341
595,2019-02-13,46200,150,46400,46700,46000,11299738
596,2019-02-12,46050,1050,44650,46250,44650,13184367
597,2019-02-11,45000,200,44500,45000,44250,11125044
598,2019-02-08,44800,1400,45700,45700,44650,12689196
601,2019-02-07,46200,150,46800,47100,46200,15872001
602,2019-02-01,46350,200,46650,46950,46250,13832454
603,2019-01-31,46150,250,46650,47050,46150,21621145
604,2019-01-30,46400,900,44800,46400,44800,17505980
605,2019-01-29,45500,450,45050,45500,44350,16215017
609,2019-01-28,45050,300,45000,45500,44600,17998914
610,2019-01-25,44750,1700,44300,44750,43750,22789395
611,2019-01-24,43050,1050,43050,43100,42350,14747623
612,2019-01-23,42000,150,41350,42250,41350,11071079
613,2019-01-22,42150,600,42750,42850,41850,9964356
616,2019-01-21,42750,450,42700,42750,41900,11355701
617,2019-01-18,42300,350,42000,42400,41950,11029256
618,2019-01-17,41950,500,41700,42100,41450,11736903
619,2019-01-16,41450,350,41150,41450,40700,8491595
620,2019-01-15,41100,1050,40050,41100,39850,11492756
624,2019-01-14,40050,450,40450,40700,39850,11984996
625,2019-01-11,40500,700,40350,40550,39950,11661063
626,2019-01-10,39800,200,40000,40150,39600,14731699
627,2019-01-09,39600,1500,38650,39600,38300,17452708
628,2019-01-08,38100,650,38000,39200,37950,12756554
631,2019-01-07,38750,1300,38000,38900,37800,12748997
632,2019-01-04,37450,150,37450,37600,36850,14108958
633,2019-01-03,37600,1150,38300,38550,37450,12471493
634,2019-01-02,38750,50,39400,39400,38550,7847664
635,2018-12-28,38700,450,38250,38900,38200,9900267
639,2018-12-27,38250,100,38700,38800,38100,10510643
640,2018-12-26,38350,450,38400,38750,38300,12707675
641,2018-12-24,38800,150,38500,39050,38300,9729530
642,2018-12-21,38650,0,38200,38650,38100,14947080
643,2018-12-20,38650,450,38600,39100,38500,11937617
646,2018-12-19,39100,200,38900,39350,38850,9942037
647,2018-12-18,38900,250,38300,39200,38300,11042101
648,2018-12-17,39150,200,38650,39600,38650,11532968
649,2018-12-14,38950,1050,40200,40200,38700,19671783
650,2018-12-13,40000,450,40650,40750,40000,26254646
654,2018-12-12,40450,200,40250,40700,40150,12024279
655,2018-12-11,40250,50,40600,40700,40200,10638766
656,2018-12-10,40200,750,40450,40650,40000,14892263
657,2018-12-07,40950,450,40900,41400,40850,11433083
658,2018-12-06,40500,950,40600,41100,40450,14251826
661,2018-12-05,41450,700,40900,41750,40850,12631983
662,2018-12-04,42150,1100,42650,42900,41900,14347746
663,2018-12-03,43250,1400,42750,43400,42400,12110702
664,2018-11-30,41850,1300,43450,44000,41750,19775519
