,date,close,diff,open,high,low,volume
1,2020-09-16,6230,30,6300,6300,6000,4179
2,2020-09-15,6200,40,6240,6350,6200,7595
3,2020-09-14,6240,50,6250,6250,6180,13956
4,2020-09-11,6290,10,6300,6300,6160,3771
5,2020-09-10,6300,60,6350,6350,6250,4281
9,2020-09-09,6240,60,6230,6280,6220,2372
10,2020-09-08,6300,110,6190,6380,6190,13109
11,2020-09-07,6190,70,6120,6200,6090,7319
12,2020-09-04,6120,10,6110,6120,5950,4956
13,2020-09-03,6110,30,6140,6300,6100,9117
16,2020-09-02,6140,30,6200,6350,6110,11038
17,2020-09-01,6110,30,6080,6180,5790,11957
18,2020-08-31,6080,10,6090,6200,6000,5573
19,2020-08-28,6090,70,6200,6210,6050,5072
20,2020-08-27,6160,90,6250,6450,6090,6172
24,2020-08-26,6250,160,6410,6410,6230,6974
25,2020-08-25,6410,180,6180,6450,6180,14606
26,2020-08-24,6230,40,6520,6580,6040,13864
27,2020-08-21,6190,0,6190,6250,5970,13668
28,2020-08-20,6190,80,6210,6320,6050,10535
31,2020-08-19,6270,30,6230,6550,6160,7562
32,2020-08-18,6240,210,6450,6580,6150,18470
33,2020-08-14,6450,50,6500,6650,6450,21336
34,2020-08-13,6500,0,6500,6500,6420,4427
35,2020-08-12,6500,40,6450,6550,6360,7969
39,2020-08-11,6540,0,6540,6640,6420,8217
40,2020-08-10,6540,10,6620,6620,6230,10934
41,2020-08-07,6530,90,6450,6580,6450,18437
42,2020-08-06,6440,120,6350,6460,6330,21832
43,2020-08-05,6320,40,6290,6360,6280,14846
46,2020-08-04,6360,150,6690,6690,6030,28259
47,2020-08-03,6510,10,6600,6620,6460,10910
48,2020-07-31,6500,0,6500,6650,6500,17143
49,2020-07-30,6500,10,6600,6660,6470,10255
50,2020-07-29,6510,70,6370,6540,6370,7787
54,2020-07-28,6440,0,6410,6520,6260,12025
55,2020-07-27,6440,0,6570,6570,6430,10299
56,2020-07-24,6440,30,6450,6460,6370,17158
57,2020-07-23,6410,110,6520,6520,6360,15576
58,2020-07-22,6520,30,6550,6570,6470,15153
61,2020-07-21,6550,30,6570,6570,6350,15225
62,2020-07-20,6580,50,6650,6650,6430,3634
63,2020-07-17,6530,30,6480,6530,6430,6384
64,2020-07-16,6560,80,6680,6680,6510,4145
65,2020-07-15,6640,10,6650,6670,6570,3302
69,2020-07-14,6650,90,6700,6700,6560,14179
70,2020-07-13,6560,10,6460,6570,6340,6913
71,2020-07-10,6550,110,6420,6590,6420,11790
72,2020-07-09,6440,60,6390,6440,6220,6331
73,2020-07-08,6380,80,6550,6550,6190,9737
76,2020-07-07,6300,80,6400,6410,6200,5727
77,2020-07-06,6380,20,6450,6450,6330,2549
78,2020-07-03,6400,150,6160,6590,6160,7959
79,2020-07-02,6250,40,6200,6290,6200,8387
80,2020-07-01,6290,140,6220,6430,6120,8717
84,2020-06-30,6430,50,6490,6500,6330,4580
85,2020-06-29,6380,110,6490,6490,6310,2938
86,2020-06-26,6490,10,6670,6680,6260,14867
87,2020-06-25,6500,170,6700,6700,6420,8717
88,2020-06-24,6670,10,6680,6700,6570,6359
91,2020-06-23,6680,90,6770,6770,6520,23703
92,2020-06-22,6770,90,6860,6890,6750,5655
93,2020-06-19,6860,20,6920,6930,6830,12376
94,2020-06-18,6880,100,6780,6900,6710,13173
95,2020-06-17,6780,0,6670,6800,6650,11459
99,2020-06-16,6780,160,6640,6850,6600,19392
100,2020-06-15,6620,180,6800,6900,6360,58662
101,2020-06-12,6800,30,6600,6810,6400,41623
102,2020-06-11,6770,50,6790,6790,6620,32435
103,2020-06-10,6720,180,6540,6720,6540,44407
106,2020-06-09,6540,60,6500,6560,6390,32982
107,2020-06-08,6480,0,6480,6560,6380,21017
108,2020-06-05,6480,30,6500,6500,6300,8918
109,2020-06-04,6450,80,6450,6480,6360,13457
110,2020-06-03,6370,30,6360,6540,6330,19529
114,2020-06-02,6340,10,6340,6370,6330,6241
115,2020-06-01,6350,50,6310,6380,6310,5374
116,2020-05-29,6300,80,6380,6400,6250,8296
117,2020-05-28,6380,0,6490,6490,6190,17478
118,2020-05-27,6380,20,6380,6460,6360,17146
121,2020-05-26,6400,10,6390,6400,6310,7162
122,2020-05-25,6390,0,6450,6450,6320,11093
