주요재무정보,2015/12,2016/12,2017/12,2018/12,2019/12
매출액,769.0,834.0,768.0,918.0,1025.0
영업이익,60.0,67.0,-32.0,6.0,11.0
영업이익(발표기준),60.0,67.0,-32.0,6.0,11.0
세전계속사업이익,14.0,9.0,-63.0,-47.0,26.0
당기순이익,2.0,-6.0,-61.0,-75.0,14.0
당기순이익(지배),3.0,-6.0,-61.0,-75.0,14.0
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0
자산총계,1277.0,1395.0,1234.0,1092.0,1369.0
부채총계,876.0,1052.0,867.0,759.0,709.0
자본총계,401.0,343.0,366.0,333.0,659.0
자본총계(지배),402.0,345.0,368.0,335.0,661.0
자본총계(비지배),-2.0,-2.0,-2.0,,
자본금,195.0,195.0,203.0,208.0,208.0
영업활동현금흐름,0.0,7.0,-25.0,74.0,43.0
투자활동현금흐름,30.0,-114.0,86.0,23.0,-85.0
재무활동현금흐름,-25.0,111.0,-68.0,-95.0,324.0
CAPEX,10.0,6.0,12.0,11.0,8.0
FCF,-10.0,2.0,-37.0,63.0,35.0
이자발생부채,658.0,802.0,668.0,531.0,516.0
영업이익률,7.78,8.01,-4.12,0.63,1.12
순이익률,0.3,-0.76,-7.92,-8.2,1.41
ROE(%),0.62,-1.65,-17.04,-21.36,2.9
ROA(%),0.18,-0.48,-4.63,-6.47,1.17
부채비율,218.57,306.61,236.73,228.16,107.56
자본유보율,114.12,84.74,85.26,64.25,56.09
EPS(원),7.0,-16.0,-154.0,-182.0,35.0
PER(배),1309.36,,,,140.29
BPS(원),1037.0,889.0,911.0,806.0,1592.0
PBR(배),8.28,9.16,9.4,8.32,3.05
현금DPS(원),50.0,60.0,60.0,60.0,60.0
현금배당수익률,0.58,0.74,0.7,0.89,1.24
현금배당성향(%),758.36,-376.55,-39.91,-33.2,172.88
발행주식수(보통주),39044958.0,39044958.0,40547810.0,41667166.0,41667166.0
