,date,close,diff,open,high,low,volume
1,2020-09-09,33650,0,33650,33650,33650,0
2,2020-09-08,33650,150,33500,34450,33400,278772
3,2020-09-07,33500,50,33350,33650,33050,203592
4,2020-09-04,33450,50,32800,33650,32750,350177
5,2020-09-03,33500,150,33500,34050,33150,339095
9,2020-09-02,33650,1000,32700,33650,32700,264978
10,2020-09-01,32650,150,32550,32800,32400,213176
11,2020-08-31,32500,750,33300,33600,32500,414193
12,2020-08-28,33250,400,33000,33500,32850,216242
13,2020-08-27,32850,350,33300,33350,32700,291530
16,2020-08-26,33200,0,33250,33250,32600,255479
17,2020-08-25,33200,700,32800,33250,32750,411729
18,2020-08-24,32500,400,32650,32800,32250,333247
19,2020-08-21,32900,100,33000,33400,32600,393710
20,2020-08-20,33000,1850,34450,34550,33000,538532
24,2020-08-19,34850,300,34650,35000,34450,291927
25,2020-08-18,34550,1400,35950,35950,34500,501111
26,2020-08-14,35950,100,36100,36100,35400,372956
27,2020-08-13,35850,300,36450,36800,35850,480465
28,2020-08-12,36150,650,35400,36450,35350,568532
31,2020-08-11,35500,500,35000,35700,34950,697120
32,2020-08-10,35000,600,35400,35450,34700,552855
33,2020-08-07,35600,300,35300,36150,35100,480115
34,2020-08-06,35300,50,35250,35950,35050,450476
35,2020-08-05,35250,450,34850,35350,34550,362971
39,2020-08-04,34800,500,34300,34800,34150,219579
40,2020-08-03,34300,700,35000,35000,34250,217390
41,2020-07-31,35000,450,35350,35450,34900,194384
42,2020-07-30,35450,350,35150,35450,34950,199280
43,2020-07-29,35100,200,34850,35500,34650,222619
46,2020-07-28,34900,150,35150,35300,34850,314826
47,2020-07-27,35050,300,35350,35550,35050,226297
48,2020-07-24,35350,350,35550,35700,35300,137268
49,2020-07-23,35700,400,36100,36250,35400,249040
50,2020-07-22,36100,200,36400,37200,36100,339316
54,2020-07-21,35900,300,35700,36200,35650,195232
55,2020-07-20,35600,400,36000,36000,35500,172761
56,2020-07-17,36000,100,36100,36150,35800,115194
57,2020-07-16,35900,150,35900,36150,35700,169712
58,2020-07-15,35750,50,36100,36500,35550,242530
61,2020-07-14,35800,50,35450,35800,35350,110319
62,2020-07-13,35850,850,35300,35900,35000,188498
63,2020-07-10,35000,1150,36150,36150,34950,299791
64,2020-07-09,36150,500,36700,36700,36150,212654
65,2020-07-08,36650,100,36700,36950,36400,160029
69,2020-07-07,36750,250,37400,37550,36750,214800
70,2020-07-06,37000,50,37000,37200,36400,148789
71,2020-07-03,36950,250,37200,37500,36600,180077
72,2020-07-02,37200,850,36350,37200,36200,201004
73,2020-07-01,36350,100,36500,36800,36250,110097
76,2020-06-30,36250,0,36400,37100,36250,215664
77,2020-06-29,36250,800,36450,36450,36000,153973
78,2020-06-26,37050,1000,36300,37150,36250,194930
79,2020-06-25,36050,1450,37050,37200,36050,309969
80,2020-06-24,37500,0,37500,37650,37300,191471
84,2020-06-23,37500,0,37800,38000,37050,186382
85,2020-06-22,37500,400,37500,37900,37250,189683
86,2020-06-19,37900,400,38150,38150,37200,264820
87,2020-06-18,37500,500,37650,37950,37450,194679
88,2020-06-17,38000,200,38200,39100,37450,327321
91,2020-06-16,38200,2000,36650,38500,36650,248423
92,2020-06-15,36200,1500,37350,37600,36200,357897
93,2020-06-12,37700,800,37000,37700,36750,412085
94,2020-06-11,38500,1150,39350,39400,38200,452691
95,2020-06-10,39650,750,40200,40550,39600,283370
99,2020-06-09,40400,100,40850,41500,40150,281448
100,2020-06-08,40500,250,41700,41700,40450,327866
101,2020-06-05,40250,150,40350,40500,40000,234812
102,2020-06-04,40400,450,41100,41950,40100,395883
103,2020-06-03,40850,1600,39800,40900,39800,496828
106,2020-06-02,39250,600,38450,39350,38400,230484
107,2020-06-01,38650,950,38050,38850,38050,267626
108,2020-05-29,37700,1300,38700,38850,37700,631020
109,2020-05-28,39000,550,39450,39550,38650,224229
110,2020-05-27,39550,0,39600,40650,39350,311730
114,2020-05-26,39550,1650,38000,39700,37950,388595
115,2020-05-25,37900,50,38150,38150,37650,117938
116,2020-05-22,37850,750,38600,38600,37600,216188
117,2020-05-21,38600,600,38450,38950,38300,359687
118,2020-05-20,38000,450,38450,38450,38000,176694
121,2020-05-19,38450,1000,38800,39000,38000,537497
122,2020-05-18,37450,500,37300,37450,36650,196331
123,2020-05-15,36950,150,37100,37350,36900,181378
124,2020-05-14,36800,300,36850,37050,36300,293655
125,2020-05-13,37100,150,36500,37250,36500,214773
129,2020-05-12,36950,850,37500,37600,36700,349027
130,2020-05-11,37800,600,38300,38550,37800,157719
131,2020-05-08,38400,150,38500,38600,38200,226357
132,2020-05-07,38250,550,38650,38700,38100,197276
133,2020-05-06,38800,1550,38050,39300,38050,382368
136,2020-05-04,37250,1300,37800,37850,37100,306287
137,2020-04-29,38550,750,38000,39250,37950,445543
138,2020-04-28,37800,300,37650,38300,37350,432912
139,2020-04-27,38100,600,37500,38450,37500,256655
140,2020-04-24,37500,1100,38750,39100,37350,300181
144,2020-04-23,38600,1250,37400,38700,37400,402968
145,2020-04-22,37350,500,37250,37350,36300,409883
146,2020-04-21,37850,500,37700,38300,37250,282678
147,2020-04-20,38350,450,38950,39400,38300,310990
148,2020-04-17,38800,150,38400,39450,38400,331931
151,2020-04-16,38950,0,38450,39150,37600,366290
152,2020-04-14,38950,150,39150,39450,38850,269727
153,2020-04-13,39100,50,39150,39300,38600,164461
154,2020-04-10,39150,300,38850,39150,38550,231442
155,2020-04-09,39450,450,39850,39950,38800,322406
159,2020-04-08,39000,500,38800,40000,38350,282670
160,2020-04-07,39500,150,39850,40000,38600,340677
161,2020-04-06,39650,2250,37900,40200,37700,301095
162,2020-04-03,37400,1050,39850,41000,36700,447562
163,2020-04-02,38450,3050,35550,39150,35150,364422
166,2020-04-01,35400,1400,36100,37600,35100,273704
167,2020-03-31,36800,350,37150,37650,36300,318723
168,2020-03-30,37150,950,36550,37850,35850,214033
169,2020-03-27,38100,700,38550,38850,37000,261659
170,2020-03-26,37400,2500,39900,40600,37400,400721
174,2020-03-25,39900,5000,35150,40300,34800,484138
175,2020-03-24,34900,2300,32600,35150,32600,366497
176,2020-03-23,32600,3150,34600,34600,32200,339139
177,2020-03-20,35750,150,35600,36500,34700,351928
178,2020-03-19,35600,1050,36650,37650,35200,406946
181,2020-03-18,36650,0,36500,37650,36300,232190
182,2020-03-17,36650,550,34600,36700,34550,251836
183,2020-03-16,36100,250,36250,36950,35050,216706
184,2020-03-13,35850,2250,35100,36400,33850,406795
185,2020-03-12,38100,2050,40550,40550,37600,345886
189,2020-03-11,40150,250,40000,40450,38750,262281
190,2020-03-10,40400,1850,37900,40450,37800,361388
191,2020-03-09,38550,1450,39400,39400,37950,401937
192,2020-03-06,40000,1300,41000,41000,39650,374898
193,2020-03-05,41300,650,40650,41300,40500,254575
196,2020-03-04,40650,100,40750,41100,40550,200295
197,2020-03-03,40750,50,41000,41650,40450,215622
198,2020-03-02,40800,450,41100,41500,40400,187080
199,2020-02-28,41250,700,41600,41600,40950,294536
200,2020-02-27,41950,0,41500,42000,41150,210228
204,2020-02-26,41950,300,41400,42000,41050,252165
205,2020-02-25,41650,50,41100,41750,40750,198750
206,2020-02-24,41600,2350,43550,43600,41500,229758
207,2020-02-21,43950,1200,44650,44650,43900,193560
208,2020-02-20,45150,150,45200,45500,44900,124948
211,2020-02-19,45300,550,46050,46100,45200,87714
212,2020-02-18,45850,50,45500,46150,45500,96289
213,2020-02-17,45900,150,46050,46450,45450,89084
